Dog_Number,Total_Complains,hash_binary
4030,1,2F63A17A8989DCA56D5668048BB962D25690CB519BB019F118B6CD99FC2AF705
4038,1,9BE2DDC8D148896CC0D97A786920D40B16234BE2D628E28ABBAE536E32ED5DA7
4040,1,E7D0B1E66F5962A8B633FE4BC7370D47503C399B2E59CCCBE70A596DF506749F
5409,3,9406A92CF39B8355761066E63800A0F1E18E94CCE9F24FCCC03AD833B8195E37
1465,1,44EEC517549B79B85862C18207D109881762BF71086F47B21F87EFA677498995
5055,2,578D5565E04649AB231A4FCB963D850C8D9E981CBDB3270AEC3A7D6E76E6ECE9
5001,1,B5804C68FBE09F79A27244836588FCB19261D6275A1A92DBD025CC14A2E9A417
1514,2,1A4E346D09A71F8A28532E94A9D99240ECAA2AC352A6780004A21DABB3851E9A
1535,1,F39EDD3ACEB8A95E1996DBC59B7CD7EDD8E4DE04F9B6B7FAA21E5369624BF76F
5441,1,64726AAD637D32998D1C71CF04DD4CE40471BEB34CF930DC4946996B99A0F1D0
7469,1,DDE1C09ECB6A7F3E7E6AB58B76C25A278BA58745C2AF5D69E7854D2F89DEF296
1623,2,E52EF8158DDCFCAEE85D3DDA60C3402C307638C0C4867BC761DC66B8B376C817
6627,1,8439719B67878F2FBC4B54FAFFCD7B2D2894EEA38E26A8081D6DEB7E5A93ABF5
7401,1,FB9FFAB8373643FDB05665B268584B9C8C0236362F96BE76F3E35B54A08C92DF
1699,1,D0E8125D2D286F54112D6DCC7AC5167B5E8D2E189EE91FA8AF147EAC5D429044
5513,2,AB80AC3151AC0364F0A4E23C57494F9810AA4767E9B67B9B36B92B67CCA6F1A7
1760,1,EC042A4F92178CB8F05273E426EB39E8747675E81A32E2DA0373FB14D7D28E25
7257,3,1C35E36C5DCB14107F13038FB8967FEAE664A4B3C376D026C4FB8066E44E3E92
5924,5,81FFAB9F2154BE6FAB117D509FB78B6466CE0A5D802FBC221962E40E0EFB4AE0
7295,2,4EC8D2129ED7557A290A1923D44E96A88230E23D579215DDC22CDB9A25F444E7
2306,1,3FB071C2FB38685C55C31BBD6D4E04E7791AC990D35ED62C27E7F46E1E46CAAB
6383,2,06AE046DF4D66463414015950381982C2E9E9259E6CCBF8A62FB9E6ACFE96C87
